wsif_year,school_organization_id,school_name,student_group,school_level,regular_attendance_numerator,regular_attendance_denominator,regular_attendance_rate
2017,"100,835",Moses Lake High School,All Students,High,4660,7212,0.646145313366611
2017,"101,828",Mossyrock Jr./Sr. High School,All Students,High,576,678,0.849557522123894
2017,"103,297",Mount Adams Middle School,All Students,Middle,264,403,0.655086848635236
2017,"103,121",Mount Baker Junior High,All Students,Middle,696,839,0.829558998808105
2017,"102,415",Mount Baker Middle School,All Students,Middle,1701,2140,0.794859813084112
2017,"103,117",Mount Baker Senior High,All Students,High,1345,1704,0.789319248826291
2017,"101,291",Mount Rainier High School,All Students,High,3405,4999,0.681136227245449
2017,"101,450",Mount Si High School,All Students,High,4589,5461,0.840322285295734
2017,"102,405",Mount Vernon High School,All Students,High,4204,5927,0.709296440020246
2017,"100,609",Mountain View High School,All Students,High,4197,5756,0.729152189020153
2017,"102,197",Mountain View Middle School,All Students,Middle,1699,1958,0.867722165474975
2017,"101,683",Mountain View Middle School,All Students,Middle,2204,2621,0.840900419687142
2017,"102,772",Mountainside Middle School,All Students,Middle,2083,2309,0.902122130792551
2017,"102,528",Mountlake Terrace High School,All Students,High,2988,3918,0.762633996937213
2017,"101,431",Mt Baker Middle School,All Students,Middle,2526,2935,0.860647359454855
2017,"102,782",Mt Spokane High School,All Students,High,4121,4588,0.89821272885789
2017,"104,139",Mt. Solo Middle School,All Students,Middle,1187,1403,0.846044191019244
2017,"103,169",Naches Valley High School,All Students,High,1108,1379,0.803480783176215
2017,"103,171",Naches Valley Middle School,All Students,Middle,1028,1213,0.847485572959604
2017,"101,820",Napavine Jr Sr High School,All Students,High,,1125,
2017,"101,999",Naselle Jr Sr High Schools,All Students,High,384,475,0.808421052631579
2017,"101,131",Nathan Hale High School,All Students,High,2949,3562,0.827905670971364
2017,"100,505",Neah Bay Junior/ Senior High School,All Students,Middle,430,550,0.781818181818182
2017,"101,337",Nelsen Middle School,All Students,Middle,2384,3073,0.775789131142206
2017,"101,715",New Frontiers Jr High,All Students,High,44,97,0.45360824742268
2017,"100,769",New Horizons High School,All Students,High,268,1010,0.265346534653465
2017,"104,029",New Market High School,All Students,High,171,205,0.834146341463415
2017,"102,010",Newport High School,All Students,High,816,1078,0.7569573283859
2017,"101,379",Newport Senior High School,All Students,High,,5369,
2017,"102,930",Nisqually Middle School,All Students,Middle,2152,2479,0.868091972569584
2017,"103,110",Nooksack Valley High School,All Students,High,1123,1426,0.787517531556802
2017,"103,112",Nooksack Valley Middle School,All Students,Middle,910,1022,0.89041095890411
2017,"100,884",North Beach Junior High School,All Students,Middle,216,302,0.71523178807947
2017,"100,880",North Beach Senior High School,All Students,High,465,616,0.75487012987013
2017,"102,690",North Central High School,All Students,High,3154,4191,0.752565020281556
2017,"101,707",North Kitsap High School,All Students,High,2963,3479,0.851681517677494
2017,"102,477",North Lake Middle School,All Students,Middle,1937,2168,0.893450184501845
